ACC_x_mean,ACC_y_mean,ACC_z_mean,net_acc_mean,net_acc_std,HR,IBI,HRV,label,subject
-30.847916666666666,44.295833333333334,2.2239583333333335,65.82011187230272,10.278788747588683,54.79510605335661,1221.3541666666667,575.0044305122315,0,11
-46.77395833333333,-1.375,27.841666666666665,64.96248674626108,6.785193984590299,61.6288717575699,1093.75,506.98249476683117,0,11
-52.96041666666667,9.046875,14.415625,65.12083392723993,5.0975800095899775,67.87157906234508,1045.7589285714287,413.87956738198176,0,11
-52.234375,-7.932291666666667,8.765625,65.09824799736082,4.646950542105713,76.80706753752155,927.4193548387096,304.74759022837253,1,11
-46.682291666666664,-17.984375,19.983333333333334,64.56263524391059,3.207654443424622,70.6228438337173,1081.0185185185185,615.8891223732501,1,11
-49.63125,11.353125,37.88333333333333,64.53778423551506,5.153925458984552,61.00543203703341,1184.8958333333333,530.4901855421283,1,11
-50.69583333333333,-4.042708333333334,39.436458333333334,64.36508190168746,0.4015367841994284,53.93355403791221,1382.4404761904761,602.2824425674387,1,11
-51.00729166666667,-4.40625,38.77916666666667,64.2310282742672,0.3243688696854721,58.11465524680793,1234.375,473.09494227349546,1,11
-42.14479166666667,-5.263541666666667,46.248958333333334,63.675916939626724,2.1606079926168476,67.37548898105362,1098.3796296296296,523.1638564284397,1,11
-52.384375,-3.707291666666667,34.016666666666666,64.38524951406673,1.4923622252557374,53.07662294032732,1495.0657894736842,631.30500310424,1,11
-54.973958333333336,-10.741666666666667,22.564583333333335,64.8192879835502,3.0222282572494357,43.48917481596517,1562.5,505.4498992921497,1,11
-57.64479166666667,-4.147916666666666,11.913541666666667,65.03647361471955,1.6804066259553831,64.097874111932,1229.6195652173913,718.1939548744347,1,11
-38.858333333333334,-13.944791666666667,-35.20104166666667,64.74203690904336,2.080141870498265,47.202859728603904,1409.375,486.66426339228764,1,11
-18.670833333333334,-4.946875,-61.17916666666667,64.15832698428663,0.356071496598594,38.14754881814931,1604.7794117647059,386.0671593939324,1,11
-23.898958333333333,-8.757291666666667,-56.45625,64.34345962558133,1.4749418331529713,44.51002240653596,1485.9375,481.568162088029,1,11
-51.62083333333333,-19.958333333333332,-12.991666666666667,65.09163823111473,2.980751983926615,44.943932557597144,1515.625,427.87468530345353,1,11
-49.869791666666664,-22.667708333333334,22.401041666666668,64.61872102887186,4.620950579642806,56.5868538380389,1308.2386363636363,339.11924174108384,1,11
-46.17916666666667,-19.436458333333334,28.510416666666668,64.26576067432697,3.450320750808768,52.93921478550503,1454.6875,649.5586178523967,1,11
-53.46041666666667,15.05,31.069791666666667,64.82230830730435,2.910579102650078,62.39189623277543,1238.6363636363637,453.98368965877,1,11
-52.1875,15.039583333333333,30.904166666666665,64.80251074455849,3.43499410985146,37.74311812733096,1605.9027777777778,234.2217636318699,1,11
-41.547916666666666,23.751041666666666,42.76875,64.33218850663123,0.5983841691854355,78.80485744857558,937.5,585.4398029951794,1,11
-41.35729166666667,22.251041666666666,43.590625,64.10697506342548,0.34296241389315835,64.34656349907817,1139.423076923077,431.83836675311755,1,11
