timestamp,ACC_x_mean,ACC_y_mean,ACC_z_mean,net_acc_mean,net_acc_std,HR,SDNN,label,subject
2025-04-30 00:00:27,-23.2,-58.02,10.84,63.42419444474541,0.26750520579184217,150.64615384615382,7.8125,1,14
2025-04-30 00:02:38,-30.68,-54.64,11.66,63.74378460719885,0.47950385925303374,130.5069124423963,23.4375,1,14
2025-04-30 00:31:45,-39.18,-26.34,29.34,65.12902058398655,5.627670723368199,150.64615384615382,7.8125,2,14
2025-04-30 00:31:57,-27.16,-56.76,-7.88,63.662919776533315,1.1281159189914682,137.84615384615384,31.25,2,14
2025-04-30 00:32:06,-28.16,6.96,57.08,64.434608274254,3.8757265826473475,150.64615384615382,7.8125,2,14
2025-04-30 00:32:13,-14.86,5.24,59.38,63.543393898414806,6.167421817169709,139.6825396825397,7.8125,2,14
2025-04-30 00:32:23,-59.6,-7.24,23.64,64.55302953317485,1.739648840730762,139.6825396825397,7.8125,2,14
2025-04-30 00:32:27,-22.62,-48.46,-35.46,64.26017475680496,1.1357553543282062,130.5069124423963,23.4375,2,14
2025-04-30 00:32:31,-23.74,-46.72,-37.24,64.33424019027566,0.7781639543942787,137.84615384615384,31.25,2,14
2025-04-30 00:32:34,-20.74,-47.62,-37.74,64.23313239521698,0.9616146309860313,142.41758241758242,15.625,2,14
2025-04-30 00:33:13,-37.18,-48.88,-19.52,64.47515783686602,0.3660900315681831,132.41379310344828,0.0,2,14
2025-04-30 00:33:23,-36.4,-50.42,-16.6,64.37670564473504,0.46879668422360926,128.57142857142856,31.25,2,14
2025-04-30 00:34:06,-60.5,-5.84,-10.84,65.20237706045636,2.414544608424863,140.8,39.0625,2,14
2025-04-30 00:34:08,-65.04,-3.74,4.02,65.27388315282592,0.20044488326784538,153.6,0.0,2,14
2025-04-30 00:34:18,-53.06,-7.78,-36.14,66.03105191098007,5.444279890807979,144.95726495726495,7.8125,2,14
2025-04-30 00:34:21,-65.28,-3.66,-2.56,65.44107181833529,0.5349011754359878,130.20689655172413,7.8125,2,14
2025-04-30 00:34:25,-65.12,-3.8,-2.4,65.27798157923107,0.3242235981084543,134.7783251231527,7.8125,2,14
2025-04-30 00:34:38,-65.1,-4.14,-3.16,65.31276918214903,0.6018153864122343,132.57142857142856,15.625,2,14
2025-04-30 00:34:46,-26.5,-56.64,-13.6,64.01752613464242,0.759175605755167,145.37142857142857,23.4375,2,14
2025-04-30 00:34:47,-28.2,-55.7,-14.22,64.06837173920555,0.6661401406378733,135.78163771712158,39.0625,2,14
2025-04-30 00:35:01,-33.4,-35.12,-43.16,64.90599119604305,0.3637400983988213,135.78163771712158,39.0625,2,14
